Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,ORD,MSY,Air Canada (AC),Air Canada,837,02:10,,,,,320 CR7 ERJ 319,,,"Codeshare",3830,3861,330
- -,ORD,YEG,Air Canada (AC),Air Canada,1415,03:19,,,,,E70 CR7,,,"Codeshare",3830,49,330
- -,ORD,YHZ,Air Canada (AC),Air Canada,1234,02:58,,,,,ERJ,,,"Codeshare",3830,73,330
- -,ORD,YOW,Air Canada (AC),Air Canada,652,01:48,,,,,ERJ E70,,,"Codeshare",3830,100,330
- -,ORD,YQB,Air Canada (AC),Air Canada,877,02:15,,,,,ERJ,,,"Codeshare",3830,111,330
- -,ORD,YQR,Air Canada (AC),Air Canada,987,02:28,,,,,CRJ,,,"Codeshare",3830,120,330
- -,ORD,YUL,Air Canada (AC),Air Canada,745,01:59,,,,,E75,,,"Direct",3830,146,330
- -,ORD,YVR,Air Canada (AC),Air Canada,1758,04:00,,,,,319 320 739 737 738,,,"Codeshare",3830,156,330
- -,ORD,YWG,Air Canada (AC),Air Canada,706,01:54,,,,,ERJ CRJ,,,"Codeshare",3830,160,330
- -,ORD,YXU,Air Canada (AC),Air Canada,351,01:12,,,,,CRJ,,,"Codeshare",3830,174,330
- -,ORD,YYC,Air Canada (AC),Air Canada,1381,03:15,,,,,CR7 737,,,"Codeshare",3830,178,330
- -,ORD,YYZ,Air Canada (AC),Air Canada,434,01:22,,,,,E75,,,"Direct",3830,193,330
- -,OUA,ABJ,Air Canada (AC),Air Canada,516,01:31,,,,,333,,,"Codeshare",246,253,330
- -,OUA,BRU,Air Canada (AC),Air Canada,2683,05:51,,,,,333,,,"Codeshare",246,302,330
- -,PAP,YUL,Air Canada (AC),Air Canada,1858,04:12,,,,,763,,,"Direct",1897,146,330
- -,PDX,YVR,Air Canada (AC),Air Canada,250,01:00,,,,,DH3,,,"Codeshare",3720,156,330
- -,PDX,YYC,Air Canada (AC),Air Canada,547,01:35,,,,,CRJ,,,"Codeshare",3720,178,330
- -,PEK,YVR,Air Canada (AC),Air Canada,5273,11:02,,,,,330 77W,,,"Direct",3364,156,330
- -,PEK,YYZ,Air Canada (AC),Air Canada,6558,13:36,,,,,77W,,,"Direct",3364,193,330
- -,PHL,YYZ,Air Canada (AC),Air Canada,346,01:11,,,,,E75,,,"Direct",3752,193,330
- -,PHX,YYZ,Air Canada (AC),Air Canada,1871,04:14,,,,,319,,,"Direct",3462,193,330
- -,PIT,YYZ,Air Canada (AC),Air Canada,222,00:56,,,,,DH1,,,"Codeshare",3570,193,330
- -,PLS,YUL,Air Canada (AC),Air Canada,1638,03:46,,,,,319,,,"Direct",1754,146,330
- -,PLS,YYZ,Air Canada (AC),Air Canada,1570,03:38,,,,,E90,,,"Direct",1754,193,330
- -,POP,YHZ,Air Canada (AC),Air Canada,1781,04:03,,,,,319,,,"Direct",1761,73,330
- -,POP,YYZ,Air Canada (AC),Air Canada,1732,03:57,,,,,319,,,"Direct",1761,193,330
- -,PTP,YUL,Air Canada (AC),Air Canada,2136,04:46,,,,,319,,,"Direct",2881,146,330
- -,PUJ,YUL,Air Canada (AC),Air Canada,1883,04:15,,,,,319,,,"Direct",1760,146,330
- -,PUJ,YYZ,Air Canada (AC),Air Canada,1853,04:12,,,,,319,,,"Direct",1760,193,330
- -,PVG,YVR,Air Canada (AC),Air Canada,5599,11:41,,,,,763,,,"Direct",3406,156,330
- -,PVG,YYZ,Air Canada (AC),Air Canada,7088,14:40,,,,,77L,,,"Direct",3406,193,330
- -,PVR,YVR,Air Canada (AC),Air Canada,2202,04:54,,,,,319,,,"Direct",1836,156,330
- -,PVR,YYC,Air Canada (AC),Air Canada,2154,04:48,,,,,319,,,"Direct",1836,178,330
- -,RDU,YYZ,Air Canada (AC),Air Canada,540,01:34,,,,,CRJ,,,"Codeshare",3626,193,330
- -,ROC,YYZ,Air Canada (AC),Air Canada,105,00:42,,,,,BEH,,,"Codeshare",3622,193,330
- -,RSW,YYZ,Air Canada (AC),Air Canada,1189,02:52,,,,,320,,,"Direct",3793,193,330
- -,SAN,YYZ,Air Canada (AC),Air Canada,2151,04:48,,,,,319,,,"Direct",3731,193,330
- -,SCL,EZE,Air Canada (AC),Air Canada,706,01:54,,,,,763,,,"Direct",2650,3988,330
- -,SCL,YYZ,Air Canada (AC),Air Canada,5351,11:12,,,,,763,,,"Direct",2650,193,330
- -,SEA,YVR,Air Canada (AC),Air Canada,127,00:45,,,,,DH3,,,"Codeshare",3577,156,330
- -,SEA,YYZ,Air Canada (AC),Air Canada,2053,04:36,,,,,E90,,,"Direct",3577,193,330
- -,SFO,YEG,Air Canada (AC),Air Canada,1162,02:49,,,,,CR7,,,"Codeshare",3469,49,330
- -,SFO,YUL,Air Canada (AC),Air Canada,2531,05:33,,,,,319,,,"Direct",3469,146,330
- -,SFO,YVR,Air Canada (AC),Air Canada,800,02:06,,,,,E90 320 319,,,"Direct",3469,156,330
- -,SFO,YYC,Air Canada (AC),Air Canada,1017,02:32,,,,,CR7,,,"Codeshare",3469,178,330
- -,SFO,YYJ,Air Canada (AC),Air Canada,763,02:01,,,,,CRJ,,,"Codeshare",3469,184,330
- -,SFO,YYZ,Air Canada (AC),Air Canada,2252,05:00,,,,,320,,,"Direct",3469,193,330
- -,SJD,YYC,Air Canada (AC),Air Canada,1944,04:23,,,,,319,,,"Direct",1840,178,330
- -,SJO,YYZ,Air Canada (AC),Air Canada,2342,05:11,,,,,319,,,"Direct",1885,193,330
- -,SNU,YHZ,Air Canada (AC),Air Canada,1803,04:06,,,,,320,,,"Direct",1918,73,330
- -,SNU,YUL,Air Canada (AC),Air Canada,1624,03:44,,,,,319,,,"Direct",1918,146,330
- -,SNU,YYZ,Air Canada (AC),Air Canada,1463,03:25,,,,,319,,,"Direct",1918,193,330
- -,STL,YYZ,Air Canada (AC),Air Canada,652,01:48,,,,,CRJ,,,"Codeshare",3678,193,330
