Date	From	To	Flight_Number	Airline	Distance	Duration	Seat	Seat_Type	Class	Reason	Plane	Registration	Trip	Note	From_OID	To_OID	Airline_OID	Plane_OID
- -	SIN	COK	Singapore Airlines (SQ)	Singapore Airlines	1988	4:28					320 738 319							
			Codeshare	3316	3136	4435												
- -	SIN	CPH	Singapore Airlines (SQ)	Singapore Airlines	6190	12:52					772							
			Direct	3316	609	4435												
- -	SIN	CSX	Singapore Airlines (SQ)	Singapore Airlines	1950	4:24					320							
			Codeshare	3316	3371	4435												
- -	SIN	CTU	Singapore Airlines (SQ)	Singapore Airlines	2018	4:32					320 319							
			Codeshare	3316	3395	4435												
- -	SIN	DAC	Singapore Airlines (SQ)	Singapore Airlines	1799	4:05					333							
			Direct	3316	3076	4435												
- -	SIN	DAD	Singapore Airlines (SQ)	Singapore Airlines	1054	2:36					738 319 320							
			Codeshare	3316	3196	4435												
- -	SIN	DEL	Singapore Airlines (SQ)	Singapore Airlines	2583	5:39					772 773							
			Direct	3316	3093	4435												
- -	SIN	DME	Singapore Airlines (SQ)	Singapore Airlines	5217	10:56					77W							
			Direct	3316	4029	4435												
- -	SIN	DPS	Singapore Airlines (SQ)	Singapore Airlines	1038	2:34					772 738							
			Direct	3316	3940	4435												
- -	SIN	DRW	Singapore Airlines (SQ)	Singapore Airlines	2073	4:38					320							
			Codeshare	3316	3999	4435												
- -	SIN	DVO	Singapore Airlines (SQ)	Singapore Airlines	1542	3:35					320 738							
			Codeshare	3316	4090	4435												
- -	SIN	DXB	Singapore Airlines (SQ)	Singapore Airlines	3630	7:45					77W 333							
			Direct	3316	2188	4435												
- -	SIN	FCO	Singapore Airlines (SQ)	Singapore Airlines	6243	12:59					772							
			Direct	3316	1555	4435												
- -	SIN	FRA	Singapore Airlines (SQ)	Singapore Airlines	6383	13:15					77W 388							
			Direct	3316	340	4435												
- -	SIN	FUK	Singapore Airlines (SQ)	Singapore Airlines	2807	6:06					333							
			Direct	3316	2305	4435												
- -	SIN	HAN	Singapore Airlines (SQ)	Singapore Airlines	1377	3:15					333							
			Direct	3316	3199	4435												
- -	SIN	HKG	Singapore Airlines (SQ)	Singapore Airlines	1593	3:41					772 388 77W							
			Direct	3316	3077	4435												
- -	SIN	HKT	Singapore Airlines (SQ)	Singapore Airlines	608	1:42					320 738 319							
			Codeshare	3316	3179	4435												
- -	SIN	HND	Singapore Airlines (SQ)	Singapore Airlines	3291	7:04					333 773							
			Direct	3316	2359	4435												
- -	SIN	ICN	Singapore Airlines (SQ)	Singapore Airlines	2873	6:14					333 77W							
			Direct	3316	3930	4435												
- -	SIN	IST	Singapore Airlines (SQ)	Singapore Airlines	5383	11:15					772							
			Direct	3316	1701	4435												
- -	SIN	JNB	Singapore Airlines (SQ)	Singapore Airlines	5375	11:15					772							
			Direct	3316	813	4435												
- -	SIN	JOG	Singapore Airlines (SQ)	Singapore Airlines	771	2:02					320							
			Codeshare	3316	3898	4435												
- -	SIN	KCH	Singapore Airlines (SQ)	Singapore Airlines	438	1:22					738 319							
			Codeshare	3316	3263	4435												
- -	SIN	KIX	Singapore Airlines (SQ)	Singapore Airlines	3044	6:35					333							
			Direct	3316	3992	4435												
- -	SIN	KMG	Singapore Airlines (SQ)	Singapore Airlines	1641	3:46					320 319							
			Codeshare	3316	3382	4435												
- -	SIN	KTM	Singapore Airlines (SQ)	Singapore Airlines	2197	4:53					320							
			Codeshare	3316	3125	4435												
- -	SIN	KUL	Singapore Airlines (SQ)	Singapore Airlines	184	0:52					333							
			Direct	3316	3304	4435												
- -	SIN	LGK	Singapore Airlines (SQ)	Singapore Airlines	452	1:24					320 319							
			Codeshare	3316	3305	4435												
- -	SIN	LHR	Singapore Airlines (SQ)	Singapore Airlines	6758	14:00					77W 388							
			Direct	3316	507	4435												
- -	SIN	LOP	Singapore Airlines (SQ)	Singapore Airlines	1096	2:41					319 320							
			Codeshare	3316	8401	4435												
- -	SIN	MAA	Singapore Airlines (SQ)	Singapore Airlines	1816	4:07					333							
			Direct	3316	3144	4435												
- -	SIN	MDC	Singapore Airlines (SQ)	Singapore Airlines	1445	3:23					320							
			Codeshare	3316	3250	4435												
- -	SIN	MEL	Singapore Airlines (SQ)	Singapore Airlines	3746	7:59					333 77W 388 773							
			Direct	3316	3339	4435												
- -	SIN	MLE	Singapore Airlines (SQ)	Singapore Airlines	2110	4:43					333							
			Direct	3316	3156	4435												
- -	SIN	MNL	Singapore Airlines (SQ)	Singapore Airlines	1474	3:26					772 333							
			Direct	3316	2397	4435												
- -	SIN	MUC	Singapore Airlines (SQ)	Singapore Airlines	6246	12:59					77W							
			Direct	3316	346	4435												
- -	SIN	MXP	Singapore Airlines (SQ)	Singapore Airlines	6402	13:18					77W							
			Direct	3316	1524	4435												
- -	SIN	NGO	Singapore Airlines (SQ)	Singapore Airlines	3130	6:45					333							
			Direct	3316	3942	4435												
- -	SIN	NRT	Singapore Airlines (SQ)	Singapore Airlines	3327	7:09					388 77W							
			Direct	3316	2279	4435												
- -	SIN	PEK	Singapore Airlines (SQ)	Singapore Airlines	2788	6:04					772 77W 773 333							
			Direct	3316	3364	4435												
- -	SIN	PEN	Singapore Airlines (SQ)	Singapore Airlines	374	1:14					320 738 319							
			Codeshare	3316	3308	4435												
- -	SIN	PER	Singapore Airlines (SQ)	Singapore Airlines	2428	5:21					333 772							
			Direct	3316	3351	4435												
- -	SIN	PKU	Singapore Airlines (SQ)	Singapore Airlines	186	0:52					319							
			Codeshare	3316	3273	4435												
- -	SIN	PLM	Singapore Airlines (SQ)	Singapore Airlines	297	1:05					319							
			Codeshare	3316	3289	4435												
- -	SIN	PNH	Singapore Airlines (SQ)	Singapore Airlines	706	1:54					320							
			Codeshare	3316	3034	4435												
